price,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
5500,1.6405089040363183,1.1978102684716454,0.0,0.0,1.0,0.0,-1.3142908450434614,-1.0,1.0,1.0,0.0,2.0,-0.0,0.0,-2.0,0.0,0.0,-0.6287902456912965,-1.986827661909989,-0.9083441383267783,3.973655323819978,1.0,0.0,-0.0,0.0,1.5101127240651118,2.4066966661955096,0.0,-3.973655323819978,1.0,-0.2671775831657643,0.0,0.1332269424643792,0.0,-0.0,1.986827661909989,0.0,-0.28906733689231284,0.0
2350,0.13440954315921086,1.08167179661306,0.0,0.0,0.0,1.0,-1.1215588392163927,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.7287541239925004,-0.0,-0.37514425517462646,-0.0,0.0,0.0,-0.0,0.0,1.2657326808324694,0.19056741103665545,0.0,-0.0,0.0,-0.10074783651468586,0.0,-0.4785998205420509,-0.0,0.0,-0.5598243688254665,1.0,-1.125464967320273,1.0
1495,1.5727303400441337,1.1442249417500598,0.0,0.0,0.0,1.0,1.2510211619133393,0.0,1.0,1.0,0.0,-1.0,0.0,-0.0,-0.0,0.0,0.0,0.2654538013910142,-0.0,-1.6005890738904915,0.889132821075741,0.0,-0.0,-0.0,1.0,-0.2935150749835843,-0.8429703288919093,0.0,0.0,1.0,0.06474233255721935,0.0,-1.0661910284595233,0.0,-0.0,-0.889132821075741,0.0,-1.0182583900790536,0.0
3884,-0.577513801468923,-1.4067874844365928,1.0,0.0,1.0,0.0,0.31590417269833665,0.3333333333333333,1.0,1.0,0.0,1.0,0.3333333333333333,0.19319429198682767,0.3333333333333333,0.0,0.0,-0.725519551333963,0.06439809732894256,-0.9211972182104681,0.19319429198682767,1.0,1.0,0.06439809732894256,0.0,1.4289165507032981,1.36907484143903,0.0,0.06439809732894256,1.0,-0.9157467451154753,0.0,0.31518965837593765,0.19319429198682767,0.3333333333333333,0.19319429198682767,0.0,1.4038740360987667,0.0
2700,-1.452466744390835,-1.210635937011729,0.0,0.0,0.0,0.0,0.9790307888965214,-2.0,1.0,1.0,0.0,1.0,-0.0,-0.0,-2.0,1.0,0.0,0.790733861474183,0.021953896816684963,-0.4193052882805381,-0.010976948408342482,0.0,0.0,0.0,1.0,-0.38834651133808434,-1.2204754202060522,0.0,0.021953896816684963,0.0,-0.09563181899608107,0.0,-1.4331339590422065,-0.0,-0.0,-0.010976948408342482,1.0,0.3619767753310246,0.0
2404,0.7617941731183459,0.6751258848026794,0.0,0.0,1.0,0.0,-0.2559684842321403,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.758890640472236,0.25905598243688255,0.779965888295672,0.0,1.0,0.0,0.0,0.0,-1.0383126627527697,-0.24396031234919677,0.0,0.0,0.0,1.201482657808155,0.0,0.5478708292524902,0.0,0.0,0.3885839736553238,1.0,-0.16413066849099853,0.0
4390,0.9768949874237493,-1.4832873532529431,1.0,0.0,0.0,0.0,-0.3293231784626568,0.3333333333333333,1.0,1.0,0.0,1.0,0.3333333333333333,0.47200878155872666,0.3333333333333333,0.0,0.0,0.10646666815709381,0.15733626051957555,0.4357922897088622,0.47200878155872666,1.0,1.0,0.15733626051957555,1.0,0.8949252436820067,-0.5459213703596845,0.0,0.15733626051957555,0.0,-1.1898302055510044,0.0,1.074606172411939,0.47200878155872666,0.3333333333333333,0.47200878155872666,1.0,0.6823983779853263,0.0
2800,-0.00014771566189459675,0.07436925289437529,0.0,0.0,0.0,1.0,-1.1464432432806462,-0.3333333333333333,1.0,1.0,0.0,1.0,-0.0,0.0,-0.3333333333333333,0.0,0.0,2.0727694321781214,-0.0695206732528357,1.1506436995720677,0.20856201975850713,0.0,0.0,-0.0,1.0,0.0013108700594253698,-1.020964177736523,0.0,-0.0695206732528357,1.0,-0.4389593827125318,0.0,0.07046742369959705,0.0,-0.0,0.20856201975850713,0.0,-0.8535067225701002,0.0
2450,0.6558185711099894,-0.9240747283600041,0.0,0.0,0.0,0.0,0.4089215758505487,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.9493231824272269,-0.23783388218075374,-0.9551828040028576,-0.0,1.0,0.0,-0.0,1.0,-0.8871899437945714,2.8629397912246546,0.0,-0.0,0.0,0.7594389583987741,0.0,-0.21781173468328172,-0.0,0.0,-0.7135016465422612,1.0,-0.5929930594980141,0.0
3000,-0.7185309957630257,-1.5311703011176645,0.0,0.0,0.0,1.0,-1.1200040328620886,-0.6666666666666666,1.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.189135300548755,0.014635931211123308,-1.4984338375874198,-0.0,0.0,0.0,0.0,1.0,0.4701765769225731,0.5194937647591346,0.0,0.0,0.0,1.3843707667727758,0.0,-0.43296277335848643,-0.0,-0.0,-0.021953896816684963,1.0,3.063146611915542,0.0
